Name,GPA,Major,Award,Deadline
MIT Scholarship,3.5,Computer Science,$10000,12/01/2024
STEM Leader Grant,3.7,Engineering,$5000,11/15/2024
Example Scholarship 1,3.8,Mathematics,$7000,10/30/2024
Example Scholarship 2,3.9,Physics,$6000,10/15/2024
Example Scholarship 3,3.6,Chemistry,$8000,11/01/2024
Example Scholarship 4,3.7,Biology,$5000,11/30/2024
Example Scholarship 5,3.8,English,$4000,12/15/2024
Example Scholarship 6,3.9,History,$3000,12/30/2024
Example Scholarship 7,3.6,Geography,$2000,01/01/2025
Example Scholarship 8,3.7,Political Science,$1000,01/15/2025
Example Scholarship 9,3.8,Economics,$500,01/30/2025
Example Scholarship 10,3.9,Psychology,$250,02/01/2025
